1|20|Steel|Priority|Coast|beach cruiser|new|320.00|custom color, very comfortable. Best for casual rides around town
2|17|Titanium|Motobecane|Fantom29 Sport|moutain|used|900.00|great bike if you don't care for a carbon frame moutain bike. I love the look, selling because I got a new one.
3|56|Carbon|Peugeot|PF-12|single speed|used|600.00|single gear, vintage bike. This is a rare bike!
4|59|Steel|Peugeot|103|single speed|used|145.00|vintage used Peugeot, French made. Stronlight crank 52/42 crank, 7 speeds, GTI saddle,
5|52|Steel|Fuji|Sportif 2.1|road|brand new|1300.00|good bike, affordable for a road bike. Selling because I was gifted another one by surprise
6|56|Carbon|KTM|R2|touring|used|1500.00|bought three years ago, some parts needs replacements
7|16|Advanced-Grade Composite|Giant|Advanced Pro 2|mountain|new|3000.00|only rode it few times, selling for listed price OBO
8|26|Aluminum|Dyno|Dyno-Glide|beach cruiser|used|0|looking to sell for best offer or trade
9|28|Steel|Johnny Loco|Vienna|urban cruiser|used|280.00|just put in bran dnew tires, 3-speed gear hub. Very fashionable bike
10|16|Aluminum|Ghost|Riot AM|moutain|used|2000.00|unisex bike, shimano parts, 12-speed. Listed price OBO
